Establishment_PredictedPowerScore,Establishment_ID,Establishment_Rank,Establishment_Street,Establishment_Name
86.0735039854,100488,1,S. 3RD STREET,SAFARI CAFE
86.2379159347,101666,2,PHILLIPS LN,PITA HUT SW3
87.5618244959,98166,3,W. BROADWAY,CHINA BISTRO II
87.6168863781,99469,4,W. JEFFERSON STREET,STEVIE J'S
88.5204860464,57205,5,ELZIE RD,EL RODEO
88.5677183896,97752,6,BARDSTOWN RD,FALAFEL HOUSE
88.6398406825,65215,7,S. HURSTBOURNE PARKWAY,JUMBO BUFFET
88.6613318384,99101,8,PRESTON HWY,TORTA LOCA
88.7463421862,100533,9,BAXTER AVE.,EL NOPAL
89.1684859613,84423,10,DIXIE HIGHWAY,HEITZMAN BAKERY
89.2777608265,34216,11,BARDSTOWN RD,SOL AZTECAS
89.7626779798,92244,12,S 4TH STREET,8 TASTE OF CHINA
89.810933379,91464,13,PRESTON HWY,LA LOMA
89.9354524376,96120,14,DIXIE HWY,HOOTERS
90.2296450938,91110,15,DUTCHMANS LN,DENNY'S RESTAURANT
90.2660755336,95132,16,S. 5TH ST.,WEI WEI CHINESE EXPRESS
90.3266522164,95804,17,WESTPORT RD.,VILLE TAQUERIA
90.6262326053,88042,18,GOLDSMITH LANE,DAIRY QUEEN #310
90.6437147507,75549,19,GREENWOOD ROAD,1ST WOK
90.6737182025,88166,20,S. 5TH STREET,SPINELLI'S CAFE
90.687657288,93490,21,N. DIXIE HWY.,APPLEBEE'S
90.7327182721,101660,22,S. 7TH STREET RD,7TH STREET BAR & GRILL
90.7708941748,94642,23,BARDSTOWN RD.,JOY LUCK ASIAN CUISINE
90.8429262869,92583,24,W. OAK STREET,SOUTHERN EXPRESS
91.0227621999,91738,25,BRECKENRIDGE LN,O'CHARLEY'S
91.0374903283,89846,26,BARRETT AVE,DIAMONDS PUB
91.0569233777,100861,27,S. HURSTBOURNE PKWY.,GILBERTO'S
91.0605854924,93299,28,DIXIE HWY.,SPINELLIS
91.0964561405,34996,29,W. MAIN STREET,LOS AZTECAS
91.1110838958,36392,30,BARDSTOWN ROAD,CAFE 360 & MANTRA LOUNGE
91.1656692814,33408,31,N. 22ND ST,MCDONALD'S #6895
91.1721680038,98575,32,FOREST GREEN BLVD,EL RIO GRANDE
91.234118898,97684,33,S 8TH STREET,JUBA RESTAURANT
91.2437574162,101018,34,NEWBURG ROAD,DUNKIN DONUTS #354744
91.2586218973,84844,35,W BROADWAY,HOTEL LOUISVILLE
91.3067224341,51860,36,S. 7TH STREET ROAD,1ST WOK CHINESE RESTAURANT
91.3244526017,49711,37,OUTER LOOP,STEAK & SHAKE #702
91.3372686608,96326,38,W MUHAMMAD ALI BLVD,HIKO-A-MON
91.3793537223,43628,39,TAYLORSVILLE ROAD,SHOGUN JAPANESE STEAK HOUSE
91.3898781143,91692,40,OUTER LOOP,O'CHARLEY'S
91.4127413146,100440,41,POPLAR LEVEL ROAD,MCDONALD'S #4924
91.4213489267,65180,42,PRESTON HIGHWAY,HIBACHI SUSHI GRILL
91.4496666117,78291,43,FRANKFORT AVENUE,DIAMOND PUB & BILLIARDS
91.5121061809,97382,44,S. 4TH ST,EL MICHELADAS BAR
91.5203723544,91156,45,S 4TH ST,FUDGERY
91.5245984333,32829,46,FLINTLOCK DRIVE,JOHN O'BRYAN'S
91.5302018672,98333,47,W MANSLICK RD,FAIRDALE PIZZA
91.5928869343,87106,48,BARDSTOWN ROAD,WILD GINGER BISTRO
91.6146368763,87483,49,W. BROADWAY,CHICAGO STEAK AND LEMONADE
91.6350244388,98095,50,BISHOP LN. SUITE 100,EXECUTIVE BISTRO
91.6487882822,98623,51,HIKES LN,CHINA KING
91.652936299,86635,52,W. MAIN STREET,BLUEGRASS BREWING COMPANY
91.6872154034,92698,53,"BROWNSBORO RD., SUITE 8",CASA FIESTA
91.7613030677,33441,54,OLD 3RD ST RD,LEE'S RECIPE
91.8111400656,34696,55,S. SPRING ST,SPRING ST-A BAR & GRILL
91.8256648233,72496,56,BAXTER AVENUE,SPINELLI'S PIZZARIA
91.8499871746,34003,57,W. MARKET ST,HEALING PLACE SOUP KITCHEN
91.8507641501,100578,58,S. FLOYD STREET,U OF L THORNTON'S ACADEMIC CENTER
91.8514377974,100784,59,S. 4TH STREET,SAFIER MEDITERRANEAN DELI
91.8579927543,101779,60,S. 28TH STREET,IRMA DEE'S
91.8588065726,44350,61,LOCUST DRIVE,PASS TIME FISH HOUSE & TAVERN
91.9597907687,58857,62,W. WOODLAWN AVENUE,ANNIE'S CAFE
91.9670433013,83409,63,S 4TH ST,SPORTS & SOCIAL CLUB
91.9938959417,34814,64,BISHOP LN,WAFFLE HOUSE #179
92.0169475113,101505,65,S 4TH ST,"G MEALS PLANT-BASED, LLC"
92.059722195,88068,66,WALLACE AVENUE,NAM-NAM CAFE
92.0837850546,51013,67,BAXTER AVENUE,O'SHEA'S
92.1119673654,96899,68,BARDSTOWN RD,MELLOW MUSHROOM
92.115722786,100450,69,NELSON MILLER PKWY.,BELL'S CAFE
92.1471868724,94148,70,SHELBYVILLE RD.,CLAY OVEN INDIAN RESTAURANT
92.1644526183,35197,71,CANE RUN ROAD,WAFFLE HOUSE #221
92.1731019318,96506,72,S. FLOYD ST.,COCONUT BEACH TACOS & CERVEZA
92.2088451253,35173,73,W. BROADWAY,INDI'S FAST FOODS
92.2162522865,90962,74,EASTERN PKWY,DENNY'S
92.2261728487,93850,75,LYNDON LN.,CANCUN MEXICAN RESTAURANT
92.2307262665,34773,76,BERRY BLVD,FOXY LADY
92.2388850953,84188,77,UPS DRIVE,ICELAND SPORTS COMPLEX CONCESSION
92.2505686151,90742,78,NEWBURG ROAD,INTERNATIONAL GRILL
92.2694676049,99279,79,W. HILL STREET,RALLY'S #8249
92.3062352718,32910,80,PHILLIPS LN,BLUE HORSE
92.3219283484,97033,81,TAYLOR BLVD.,BELLA'S DINER
92.3362833752,93598,82,"RUCKRIEGEL PKWY., SUITE 108",CHINA KING
92.3420960551,82537,83,DIXIE HIGHWAY,FRANCO'S RESTAURANT
92.377339633,99075,84,FRANKFORT AVE,HUB LOUISVILLE
92.4398563019,33212,85,WHIPPS MILL RD,R PLACE PUB
92.4500081758,97683,86,POPLAR LEVEL RD,KRUSH RESTAURANT LOUNGE & BILLIARDS
92.4688739614,98505,87,BARDSTOWN RD,MI SUENO RESTAURANT
92.4809237314,80286,88,FRANKFORT AVENUE,GERSTLE'S
92.5262301145,34628,89,SHELBYVILLE ROAD,ORIENTAL HOUSE
92.534826555,32114,90,NEW LAGRANGE ROAD,CORNER CAFE & PIZZERIA
92.5533638198,29790,91,BARDSTOWN ROAD,ANGIO'S
92.5553468271,35206,92,CANE RUN ROAD,MCDONALD'S RESTAURANT #6835
92.583184448,94094,93,PRESTON HWY.,"EL MOLCAJETE KY, INC."
92.6010453085,99158,94,DIXIE HWY,RALLY'S
92.6157283086,52300,95,S. HURSTBOURNE PARKWAY,SHALIMAR RESTAURANT
92.6357060954,92726,96,ANTLE DRIVE,EL ACAPULCO
92.6724878881,57616,97,W. BROADWAY,BIG MOMMA'S SOUL KITCHEN
92.7314361631,100648,98,WARNOCK ST.,BANDIDO'S TAQUERIA MEXICANA
92.7505116738,93441,99,TAYLORSVILLE ROAD,APPLEBEE'S
92.7622798565,38833,100,SOUTH 26TH STREET,CLUB CEDAR
92.7764169895,34786,101,UPPER RIVER RD,KINGFISH #2
92.7811288238,84137,102,BARDSTOWN ROAD,DRAGON KINGS DAUGHTER
92.7873068205,33164,103,WOODHAVEN RD,WOODHAVEN COUNTRY CLUB
92.8159698377,34177,104,DIXIE HIGHWAY,POPEYE'S
92.8400317579,90189,105,BRECKENRIDGE LN,QDOBA
92.8508925152,91649,106,OUTER LOOP,FISHERY STATION
92.8576069855,90391,107,S. BROOK STREET,SALVATION ARMY CENTER OF HOPE
92.8602536372,34259,108,BARDSTOWN RD,POPEYE'S
92.861971789,93425,109,OUTER LOOP,APPLEBEE'S
92.8667069991,86280,110,WESTPORT ROAD,FRESH WOK
92.8723196827,56472,111,BLAIRWOOD ROAD,WAFFLE HOUSE# 1111
92.8820485586,71030,112,CRITTENDEN DRIVE,CARDINAL HALL OF FAME
92.8939590635,96189,113,PRESTON HWY.,SLEEP INN AIRPORT
92.919743529,96805,114,W. CARDINAL BLVD.,GRIFF'S
92.9454289895,36693,115,S. 5TH ST,LORDS KITCHEN
92.9658627486,99118,116,BARDSTOWN RD,BAWERCHI RESTAURANT
92.9832672366,101396,117,POLO FIELDS LN,POLO FIELDS COUNTRY CLUB
93.0139946257,89357,118,PAMELA RAE DRIVE,WAFFLE HOUSE #1069
93.0148621281,77988,119,S. 4TH STREET,TENGO SED CANTINA
93.0374246889,66126,120,BARDSTOWN ROAD,WAFFLE HOUSE #1444
93.050573526,42094,121,LIMEHOUSE LANE,OXMOOR COUNTRY CLUB
93.0538649997,74408,122,SHELBYVILLE ROAD,LEMON GRASS RESTAURANT
93.0630138666,98996,123,DUTCHMAN'S LANE,MANGOS MEXICAN GRILL AND CANTINA
93.0841416674,82602,124,W OAK STREET,DIXIE CHICKEN
93.0855368827,84361,125,STORY AVENUE,SERGIO'S
93.088137114,59008,126,BARDSTOWN ROAD,TUMBLEWEED
93.0943821653,87706,127,SHELBYVILLE ROAD,SPINELLI'S PIZZERIA
93.0992924104,72225,128,TAYLORSVILLE ROAD,DOUBLE DRAGON #9
93.1027623593,52124,129,FRANKFORT AVENUE,FRANKFORT AVENUE BEER DEPOT
93.1256021253,94647,130,W. CARDINAL BLVD.,CHINA EXPRESS GOURMET CHINESE
93.1261474717,35135,131,BRECKINRIDGE LN,CAPTAIN D'S #3311
93.1353459729,46878,132,BARDSTOWN ROAD,RAMSI'S
93.1422219936,101146,133,PRESTON HWY,DIXIE CHICKEN #3
93.1422219936,101654,134,W. OAK ST,SEAFOOD LADY
93.1422219936,101834,135,DUNDEE ROAD,DIORIO'S PIZZA PUB
93.1618649551,33602,136,OLD 3RD ST RD,MCDONALD'S #6859
93.1637580924,34455,137,BARDSTOWN RD,CAPTAIN D'S #3615
93.1654329455,33245,138,S. 4TH ST,CHINA INN
93.1661675299,81288,139,BARDSTOWN ROAD,DAKSHIN
93.188784219,90149,140,CRITTENDEN DR,PRP PIZZA
93.1894474535,33063,141,W MUHAMMAD ALI BLVD,G.L.I. FOOD SERVICE
93.1945412809,90211,142,POPLAR LEVEL RD,KRISPY KRUNCHY
93.2256309965,49849,143,KENTUCKY MILLS DRIVE,WAFFLE HOUSE #932
93.2366549361,82716,144,MANSLICK RD,CHINA COAST
93.2412188347,71271,145,BARDSTOWN ROAD,BUFFALO WILD WINGS GRILL & BAR
93.2539038043,93039,146,PACKERLAND WAY,ASIAN POT
93.2617721912,33597,147,S. 3RD STREET,MCDONALD'S RESTAURANT #6877
93.2629973419,60012,148,DIXIE HIGHWAY,INDI'S
93.264800398,34225,149,BARDSTOWN ROAD,STEAK N SHAKE #701
93.2766617724,34377,150,PRESTON HWY,MCDONALD'S RESTAURANT #6834
93.2989338631,33070,151,CAPTAINS QUARTERS RD,CAPTAIN'S QUARTERS
93.3011767506,101310,152,SHELBYVILLE RD,FREAKIN UNBELIEVABLE BURGERS
93.3120932846,97376,153,EASTERN PKWY,SARANG
93.3288915657,35149,154,E. BROADWAY,CHOPSTICKS
93.3477648633,33823,155,W BROADWAY,MCDONALD'S
93.3490302053,50068,156,FRANKFORT AVENUE,BOURBON'S BISTRO
93.3513609162,66448,157,OUTER LOOP,JADE GARDEN
93.3610719753,88066,158,CENTRAL AVENUE,POST-TIME KITCHEN
93.375065593,61091,159,FISCHER PARK DRIVE,STEAK N SHAKE #707
93.3894569652,78841,160,DIXIE HIGHWAY,RIVER GIRLS LOUNGE
93.3908814996,33789,161,DIXIE HWY,STEAK N SHAKE #708
93.3944372411,82741,162,S HURSTBOURNE PKWY,ROMANO'S MACARONI GRILL
93.4089949248,33399,163,BAXTER AVE,WICKS PIZZA
93.4191008963,95878,164,RIVER RD.,DARKSTAR ON THE CREEK
93.4231693064,87697,165,TERRY ROAD,GILBERTS BAR & GRILL
93.4245834394,33863,166,BARDSTOWN RD,BACK DOOR
93.4342189029,32537,167,DIXIE HWY,KINGS FRIED CHICKEN
93.4501988805,93896,168,BAUER AVE.,"MOMMA'S MUSTARD, PICKLES, & BBQ"
93.4503498209,87915,169,W. MAIN STREET,ME GUSTA LATIN KITCHEN & BAR
93.4586619,87607,170,W. MAIN STREET,DOC CROW'S SMOKEHOUSE
93.462739453,90679,171,DIXIE HWY,B J'S SPORTS PUB
93.4665553408,79927,172,OLD SHEPHERDSVILLE ROAD,LA SIERRA TARASCA RESTAURANT
93.4686233627,49969,173,DIXIE HIGHWAY,CHONG GARDEN
93.4745525908,69809,174,NEW CUT ROAD,EL NOPAL
93.4771453165,97525,175,BARDSTOWN RD,DOUBLE DRAGON #2
93.4834887334,96192,176,OUTER LOOP,EAST STAR BUFFET
93.4975965395,97470,177,BARDSTOWN RD,BAZO'S FRESH MEXICAN GRILL
93.4984330729,88054,178,OUTER LOOP,DAIRY QUEEN
93.5007839548,34788,179,RIVER ROAD,LOUISVILLE BOAT CLUB / MAIN KITCHEN
93.50998671319999,98334,180,LEXINGTON RD,LE MOO
93.5152996667,36333,181,POPLAR LEVEL ROAD,LEE'S FAMOUS RECIPE FRIED CHIC
93.5175136584,97563,182,TAYLOR BLVD,LA GUANAQUITA RESTAURANT
93.5175391031,34714,183,TAYLOR BLVD,MCDONALD'S #6899
93.5236676345,49678,184,DEL MARIA WAY,TK'S PUB & GRILL
93.5277918929,88971,185,WINKLER AVENUE,SONIC DRIVE-IN
93.553943813,34406,186,PRESTON HWY,WAFFLE HOUSE #353
93.5709888232,86393,187,W. MARKET STREET,DISH ON MARKET
93.5709950264,34837,188,N. 4TH AVE,PRODUCTION/ROOM SERVICE
93.5725081133,34038,189,BRECKENRIDGE LANE,SAINTS P & P
93.5732639919,96041,190,PRESTON HWY.,HOOTERS
93.5749865158,64978,191,PRIORITY WAY,BACKYARD BURGERS
93.5784002298,34592,192,W. ST. CATHERINE ST,DIZZY WHIZ #1
93.586785495,88156,193,BARDSTOWN ROAD,HIGHLAND MORNING
93.5899683156,65555,194,OUTER LOOP,TUMBLEWEED
